Year,Country of origin,Country of origin (ISO),Country of asylum,Country of asylum (ISO),Total
2019,Guatemala,GTM,Guatemala,GTM,242000
2019,Haiti,HTI,Haiti,HTI,2100
2019,Honduras,HND,Honduras,HND,247000
2019,Cote d'Ivoire,CIV,Cote d'Ivoire,CIV,303000
2019,India,IND,India,IND,470000
2019,Indonesia,IDN,Indonesia,IDN,40000
2019,Iraq,IRQ,Iraq,IRQ,1555000
2019,Kenya,KEN,Kenya,KEN,162000
2019,Libya,LBY,Libya,LBY,451000
2019,Lebanon,LBN,Lebanon,LBN,7000
2019,Sri Lanka,LKA,Sri Lanka,LKA,27000
2019,Madagascar,MDG,Madagascar,MDG,3000
2019,North Macedonia,MKD,North Macedonia,MKD,140
2019,Mexico,MEX,Mexico,MEX,345000
2019,Mali,MLI,Mali,MLI,208000
2019,Malawi,MWI,Malawi,MWI,150
2019,Mozambique,MOZ,Mozambique,MOZ,110000
2019,Myanmar,MMR,Myanmar,MMR,457000
2019,Niger,NER,Niger,NER,195000
2019,Nigeria,NGA,Nigeria,NGA,2583000
2019,Pakistan,PAK,Pakistan,PAK,106000
2019,Peru,PER,Peru,PER,60000
2019,Philippines,PHL,Philippines,PHL,182000
2019,Papua New Guinea,PNG,Papua New Guinea,PNG,14000
2019,South Africa,ZAF,South Africa,ZAF,250
2019,Russian Federation,RUS,Russian Federation,RUS,1800
2019,Serbia and Kosovo: S/RES/1244 (1999),SRB,Serbia and Kosovo: S/RES/1244 (1999),SRB,16000
2019,Senegal,SEN,Senegal,SEN,8400
2019,Sierra Leone,SLE,Sierra Leone,SLE,5500
2019,Somalia,SOM,Somalia,SOM,2648000
2019,Sudan,SDN,Sudan,SDN,2134000
2019,South Sudan,SSD,South Sudan,SSD,1352000
2019,Syrian Arab Rep.,SYR,Syrian Arab Rep.,SYR,6495000
2019,Thailand,THA,Thailand,THA,41000
2019,Togo,TGO,Togo,TGO,2000
2019,Tunisia,TUN,Tunisia,TUN,4
2019,Turkey,TUR,Turkey,TUR,1099000
2019,Uganda,UGA,Uganda,UGA,32000
2019,Ukraine,UKR,Ukraine,UKR,730000
2019,Yemen,YEM,Yemen,YEM,3635000
